state,total_availablity,unskilled_wage_expenditure,material_expenditure,admin_expenditure,other_expenditure,total_actual_exp,year,cum_expenditure_year,cum_expenditure_state
IN-GJ,17644707000.0,11614767000.0,5234964000.0,507504000.0,20000.0,17357255000.0,2021,1063837998000.0,57725968000.0
IN-HR,7213252000.0,4542303000.0,2423896000.0,113688000.00000001,4000.0,7079891000.0,2021,1063837998000.0,22827233000.0
IN-HP,12081881000.0,7428381000.0,2984133000.0,488708000.0,90000.0,10901312000.0,2021,1063837998000.0,39205426000.0
IN-JK,9836000000.0,8661303000.0,2416911000.0,302049000.0,0.0,11380263000.0,2021,1063837998000.0,43609597000.0
IN-JH,29256781000.0,24225854000.0,8342713000.0,789445000.0,0.0,33358012000.0,2021,1063837998000.0,101904207000.0
IN-KA,67092776000.0,46376831000.0,14037514000.000002,1525561000.0,468000.0,61940374000.0,2021,1063837998000.0,225704497000.0
IN-KL,37433712000.0,31152232000.0,8124163000.0,927728000.0000001,136000.0,40204259000.0,2021,1063837998000.0,136701097000.0
IN-LA,590439000.0,418229000.0,132769000.0,30170999.999999996,0.0,581169000.0,2021,1063837998000.0,2261788000.0
IN-MP,93938122000.0,55019499000.0,22280422000.0,3136058000.0,1025000.0,80437004000.0,2021,1063837998000.0,289498872000.0
IN-MH,27405348000.0,18707114000.0,3875997000.0,1512005000.0,5490000.0,24100606000.0,2021,1063837998000.0,87375719000.0
IN-MN,10281163000.0,6327697000.0,2646574000.0,265811000.0,0.0,9240082000.0,2021,1063837998000.0,29281234000.0
IN-ML,12029490000.0,8642337000.0,2344155000.0,285864000.0,0.0,11272356000.0,2021,1063837998000.0,46138676000.0
IN-MZ,6643872000.0,4626344000.0,560633000.0,112079000.0,0.0,5299056000.0,2021,1063837998000.0,20419399000.0
IN-NL,6782387000.0,4854886000.0,433531000.00000006,102390000.0,0.0,5390807000.0,2021,1063837998000.0,21588977000.0
IN-OR,79213651000.0,41270357000.0,17661120000.0,950483000.0,26000.0,59881986000.0,2021,1063837998000.0,191002208000.0
IN-PB,12722370000.0,8841377000.0,3512585000.0,437825000.0,30000.0,12791817000.0,2021,1063837998000.0,43512211000.0
IN-RJ,106938263999.99998,77552291000.0,21426455000.0,5657976000.0,24000.0,104636746000.0,2021,1063837998000.0,346626710000.0
IN-SK,1299044000.0,735163000.0,401977000.0,40737000.0,23000.0,1177900000.0,2021,1063837998000.0,4052304000.0
IN-TN,95849643000.0,73362118000.0,23052601000.0,1535094000.0,0.0,97949813000.0,2021,1063837998000.0,326341617000.0
IN-TG,41197312000.0,24201027000.0,15141479000.0,1424435000.0,0.0,40766941000.0,2021,1063837998000.0,137918599000.0
IN-TR,10979599000.0,8066587000.0,2202335000.0,575213000.0,21000.0,10844156000.0,2021,1063837998000.0,38988720000.0
IN-UP,87494780000.0,65756978000.0,18113547000.0,3803366000.0000005,273000.0,87674164000.0,2021,1063837998000.0,372631540000.0
IN-UT,6389596000.0,4988620000.0,1208462000.0,84950000.0,23000.0,6282055000.0,2021,1063837998000.0,27761164000.0
IN-WB,92731334000.0,73628632000.0,33508675000.0,1809093000.0,5738000.0,108952137999.99998,2021,1063837998000.0,296171209000.0
IN-AN,76330000.0,56304999.99999999,5793000.0,0.0,0.0,62098000.0,2021,1063837998000.0,202216000.0
IN-DN,0.0,0.0,0.0,0.0,0.0,0.0,2021,1063837998000.0,0.0
IN-LD,45000.0,191000.0,0.0,254999.99999999997,0.0,446000.0,2021,1063837998000.0,2891000.0
IN-PY,134072000.0,140894000.0,6121000.0,0.0,0.0,147015000.0,2021,1063837998000.0,753896000.0
IN-AP,68924067000.0,40990890000.0,23608721000.0,3475601999.9999995,0.0,68075213000.0,2022,826213719000.0,313104526000.0
IN-AR,4174758000.0,2465831000.0,2058990000.0000002,205028000.00000003,0.0,4729849000.0,2022,826213719000.0,15954222000.0
IN-AS,19893718000.0,15884948000.000002,780924000.0,422472000.0,137000.0,17088481000.0,2022,826213719000.0,79118146000.0
IN-BR,62852066000.0,43764733000.0,12138360000.0,2848143000.0,1413000.0,58752649000.0,2022,826213719000.0,221744078000.0
IN-CT,34230715000.000004,17733097000.0,7955057000.000001,1227347000.0,6000.0,26915507000.0,2022,826213719000.0,137946233000.0
IN-GA,46791000.0,28995000.0,6717000.0,195000.0,0.0,35907000.0,2022,826213719000.0,119633000.0
IN-GJ,18559992000.0,8899824000.0,7926124000.000001,541927000.0,0.0,17367875000.0,2022,826213719000.0,57725968000.0
IN-HR,4792370000.0,2558648000.0,1189611000.0,101100000.0,4000.0,3849362999.9999995,2022,826213719000.0,22827233000.0
IN-HP,11598276000.0,5575094000.0,5277154000.0,472409000.0,105000.0,11324762000.0,2022,826213719000.0,39205426000.0
IN-JK,6302623000.0,4701358000.0,1998955000.0,251767999.99999997,33000.0,6952114000.0,2022,826213719000.0,43609597000.0
IN-JH,27411115000.000004,17423833000.0,2125880000.0,640189000.0,47000.0,20189949000.0,2022,826213719000.0,101904207000.0
IN-KA,67764702000.0,33525530000.0,25105702000.0,1651259999.9999998,276000.0,60282768000.00001,2022,826213719000.0,225704497000.0
IN-KL,30499189000.0,23953388000.0,6293424000.0,596136000.0,26000.0,30842974000.0,2022,826213719000.0,136701097000.0
IN-LA,498758000.0,374048000.0,112786999.99999999,14361000.000000002,0.0,501196000.0,2022,826213719000.0,2261788000.0
IN-MP,59362340000.0,41825093000.0,23373151000.0,2946954000.0,300000.0,68145498000.0,2022,826213719000.0,289498872000.0
IN-MH,24099128000.0,17168292000.000002,6813424000.000001,1370597000.0,16158000.000000002,25368471000.0,2022,826213719000.0,87375719000.0
IN-MN,13812028000.0,4112574000.0,698777000.0,148244000.0,0.0,4959595000.0,2022,826213719000.0,29281234000.0
IN-ML,11847048000.0,4735587000.0,5182218000.0,293283000.0,0.0,10211088000.0,2022,826213719000.0,46138676000.0
IN-MZ,3987869999.9999995,3666207000.0,611206000.0,198219000.0,0.0,4475632000.0,2022,826213719000.0,20419399000.0
IN-NL,5931886000.0,4655510000.0,3102038000.0,76001000.0,0.0,7833549000.000001,2022,826213719000.0,21588977000.0
IN-OR,46144092000.0,35324175000.0,8161921000.000001,984070000.0000001,18000.0,44470184000.0,2022,826213719000.0,191002208000.0
IN-PB,13219635999.999998,7593252000.0,3037604000.0,7598000.0,62000.0,10638516000.0,2022,826213719000.0,43512211000.0
